"codigo","lat","e/w","lon","n/s","nome sem acento","uf","nome original","altitude","area"
2408,"-23.15.51","W","-47.17.57","S","itu","SP","Itu",583.000,641.600
2409,"-13.48.48","W","-41.17.48","S","ituacu","BA","Ituaçu",520.000,1220.600
2410,"-13.43.56","W","-39.08.57","S","itubera","BA","Ituberá",27.000,424.200
2411,"-19.23.39","W","-41.10.13","S","itueta","MG","Itueta",98.000,456.500
2412,"-18.58.08","W","-49.27.54","S","ituiutaba","MG","Ituiutaba",544.000,2595.200
2413,"-18.25.09","W","-49.12.55","S","itumbiara","GO","Itumbiara",448.000,2464.600
2414,"-21.19.01","W","-44.52.16","S","itumirim","MG","Itumirim",871.000,242.500
2415,"-23.09.11","W","-47.03.28","S","itupeva","SP","Itupeva",675.000,201.000
2416,"-05.08.05","W","-49.19.36","S","itupiranga","PA","Itupiranga",89.000,7914.600
2417,"-27.24.52","W","-49.36.09","S","ituporanga","SC","Ituporanga",360.000,335.700
2418,"-19.43.41","W","-50.11.44","S","iturama","MG","Iturama",453.000,1405.400
2419,"-21.17.53","W","-44.39.28","S","itutinga","MG","Itutinga",958.000,366.200
2420,"-20.20.22","W","-47.46.50","S","ituverava","SP","Ituverava",605.000,699.800
2421,"-14.24.50","W","-43.33.16","S","iuiu","BA","Iuiú",490.000,1099.500
2422,"-20.20.45","W","-41.32.09","S","iuna","ES","Iúna",661.000,456.000
2423,"-25.00.39","W","-50.51.32","S","ivai","PR","Ivaí",748.000,597.200
2424,"-24.14.52","W","-51.41.05","S","ivaipora","PR","Ivaiporã",692.000,438.000
2425,"-23.24.33","W","-53.22.09","S","ivate","PR","Ivaté",410.000,415.300
2426,"-23.37.07","W","-52.13.17","S","ivatuba","PR","Ivatuba",340.000,95.100
2427,"-22.18.17","W","-53.48.55","S","ivinhema","MS","Ivinhema",362.000,2014.900
2428,"-16.36.07","W","-50.47.38","S","ivolandia","GO","Ivolândia",637.000,1267.100
2429,"-29.31.13","W","-53.34.50","S","ivora","RS","Ivorá",120.000,131.700
2430,"-29.35.28","W","-51.09.38","S","ivoti","RS","Ivoti",127.000,65.100
2431,"-08.06.46","W","-35.00.53","S","jaboatao dos guararapes","PE","Jaboatão dos Guararapes",76.000,257.300
2432,"-27.10.33","W","-51.44.01","S","jabora","SC","Jaborá",689.000,188.000
2433,"-13.37.10","W","-44.25.58","S","jaborandi","BA","Jaborandi",448.000,10066.000
2434,"-20.41.17","W","-48.24.45","S","jaborandi","SP","Jaborandi",493.000,275.000
2435,"-23.44.36","W","-50.04.33","S","jaboti","PR","Jaboti",560.000,138.500
2436,"-27.37.51","W","-53.16.38","S","jaboticaba","RS","Jaboticaba",561.000,128.800
2437,"-21.15.17","W","-48.19.20","S","jaboticabal","SP","Jaboticabal",605.000,708.600
2438,"-19.30.49","W","-43.44.42","S","jaboticatubas","MG","Jaboticatubas",772.000,1117.100
2439,"-06.25.33","W","-36.12.18","S","jacana","RN","Jaçanã",664.000,58.400
2440,"-14.50.59","W","-42.26.00","S","jacaraci","BA","Jacaraci",900.000,1246.400
2441,"-06.36.44","W","-35.17.34","S","jacarau","PB","Jacaraú",170.000,257.100
2442,"-09.38.08","W","-37.12.17","S","jacare dos homens","AL","Jacaré dos Homens",135.000,142.900
2443,"-06.13.20","W","-57.45.10","S","jacareacanga","PA","Jacareacanga",70.000,53532.000
